file,method,lvl,Content,MatchWith
APErrorCodes.java,doDeleteAction(),Info,""" AP Error Code deleted :"" + errorCode.getErrorCode()",
APErrorCodes.java,doEditAction(),Info,""" AP Error Code updated . """,
APErrorCodes.java,doInsertAction(),Info,""" AP Error Code inserted . """,
APErrorCodes.java,doInsertAction(),Error,"""AP Error Code existed.""",
APErrorCodes.java,doInsertAction(),Error,"""AP Error Code existed.""",
APErrorCodes.java,validate(),Error,""" Please fill following fields : "" + b",
APErrorCodes.java,validate(),Error,"""The errorCode must not be larger than 80 character!""",
APErrorCodes.java,validate(),Error,"""The errorMsg must not be larger than 240 character!""",
APErrorCodes.java,validate(APErrorCode),Error,""" Please fill following fields : "" + b",
APErrorCodes.java,validate(APErrorCode),Error,"""The errorCode must not be larger than 80 character!""",
APErrorCodes.java,validate(APErrorCode),Error,"""The errorMsg must not be larger than 240 character!""",
AddUsercode.java,doComfirmAction(),Error,""" Total of user code amounts should be equal to 'Billing Amount'.""",
AddUsercode.java,doComfirmAction(),Error,""" No payment no. , so can't change user code.""",
AddUsercode.java,doComfirmAction(),Error,""" Following  UserCode not found in GFMIS system ,if you still like to proceed , please press confirm again .""",
AddUsercode.java,doComfirmAction(),Error,"""The usercode format is invalid!""",
AddUsercode.java,doDeleteAction(),Error,"""IndexOutOfBoundsException :"" + e.getMessage()",
AddUsercode.java,notifyCardUser(),Info,""" Email Notification sent to :"" + creator.getUsername()",
AddUsercode.java,notifyCardUser(),Error,e.getMessage(),
AddUsercode.java,notifyCardUser(),Error,""" P-Card User has't a valid email address .""",
AddUsercode.java,notifyCardUser(),Error,""" Error accessing Database.""",
AddUsercode.java,notifyCardUser(),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",
AddUsercode.java,notifyCardUser(),Error,""" Error reading Email Notification config.""",
AddUsercode.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",
AddUsercode.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
AddUsercode.java,validateUsercodeExist(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
AddUsercode.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",
AddUsercode.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
AddUsercode.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
AddUsercode.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
ApproveCardTrans.java,doRetrieveAction(),Info,""" No P-Card statement of this bank needed your approval.  Please switch to the other bank to check if there are any outstanding approval tasks.""",PCS-TRN-010
ApproveCardTrans.java,notifyEuClerks(),Error,""" Can't send email notification [ cause : No section infomation found ].""",PCS-TRN-010
ApproveCardTrans.java,notifyEuClerks(),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",PCS-TRN-010
ApproveCardTrans.java,notifyEuClerks(),Info,"""P-Card Supervisor's approval task completed.  Email was sent to Finance Section.""",PCS-TRN-010
ApproveCardTrans.java,notifyEuClerks(),Warn,"""P-Card Supervisor's approval task completed.  However, no email was sent to Finance Section, please contact AOI(E) at 2601-8037.""",PCS-TRN-010
ApproveCardTrans.java,notifyEuClerks(),Error,""" Error - accessing Database .""",PCS-TRN-010
ApproveCardTrans.java,notifyEuClerks(),Error,""" Error - reading Email Notification Config.""",PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Error,""" Can't send email notification [ cause : No section infomation found ].""",PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Info,""" Email notification sent  to :"" + holder.getUsername()",PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Error,e.getMessage(),PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Error,""" invalid email found :"" + holder.getEmail() + ""["" + holder.getUsername() + ""]""",PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Warn,""" P-Card Holder profile not found.""",PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Error,""" Error - accessing Database .""",PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Error,""" Error - reading Email Notification Config.""",PCS-TRN-010
BillTransDetails.java,doConfirmAction(),Error,""" Total Amount doesn't equal to Billing Amount .""",
BillTransDetails.java,doConfirmAction(),Error,""" Following  UserCode not found in PCS system & not match up to predefined formats , if you still like to proceed , please press confirm again .""",
BillTransDetails.java,doDeleteAction(),Error,"""IndexOutOfBoundsException :"" + e.getMessage()",
BillTransDetails.java,validateUsercodes(ArrayList),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
BillTransDetails.java,validateUsercodes(ArrayList),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
BillTransDetails.java,validateUsercodes(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
BillTransDetails.java,validateUsercodes(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
CardProfileEnquiry.java,doRetrieveAction(),Info,""" No record was found for display in the below list.""",PCS-ENQ-001
CenterCode.java,doAddAction(),Error,"""Centre Code should have "" + getMaxLength() + "" digits and/or alphabets.""",PCS-SYS-023
CenterCode.java,doAddAction(),Info,""" A new code added :"" + getCode().getCentreCode()",PCS-SYS-023
CenterCode.java,doDeleteAction(),Info,""" Cost Centre Code removed :""+ current.getCentreCode()",PCS-SYS-023
CenterCode.java,doEditAction(),Error,"""Centre Code should have "" + getMaxLength() + "" digits and/or alphabets.""",PCS-SYS-023
CenterCode.java,doEditAction(),Info,""" Cost Centre code updated . """,PCS-SYS-023
ChangePCSUsercode.java,doComfirmAction(),Error,""" Total of user code amounts should be equal to 'Billing Amount'.""",
ChangePCSUsercode.java,doComfirmAction(),Error,""" Following  UserCode not found in GFMIS system ,if you still like to proceed , please press confirm again .""",
ChangePCSUsercode.java,doComfirmAction(),Error,"""The usercode format is invalid!""",
ChangePCSUsercode.java,doComfirmAction(),Error,"""Save user code successfully!""",
ChangePCSUsercode.java,doComfirmAction(),Error,""" No payment no. , so can't change user code.""",
ChangePCSUsercode.java,doDeleteAction(),Error,"""IndexOutOfBoundsException :"" + e.getMessage()",
ChangePCSUsercode.java,notifyCardUser(),Info,""" Email Notification sent to :"" + creator.getUsername()",
ChangePCSUsercode.java,notifyCardUser(),Error,e.getMessage(),
ChangePCSUsercode.java,notifyCardUser(),Error,""" P-Card User has't a valid email address .""",
ChangePCSUsercode.java,notifyCardUser(),Error,""" Error accessing Database.""",
ChangePCSUsercode.java,notifyCardUser(),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",
ChangePCSUsercode.java,notifyCardUser(),Error,""" Error reading Email Notification config.""",
ChangePCSUsercode.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",
ChangePCSUsercode.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
ChangePCSUsercode.java,validateUsercodeExist(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
ChangePCSUsercode.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",
ChangePCSUsercode.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
ChangePCSUsercode.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
ChangePCSUsercode.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
ChangeUsercode.java,doComfirmAction(),Error,""" Total of user code amounts should be equal to 'Billing Amount'.""",PCS-TRN-008
